"","start1","end1","name1","start2","end2","name2"
"29",39848182,39848201,"IAPLTR2a",39847999,39848053,"IAPEz-int"
"30",39848155,39848197,"IAPLTR2a",39847517,39847582,"IAPEz-int"
"31",39848151,39848171,"IAPLTR2a",39848008,39848056,"IAPEz-int"
"32",39848008,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"33",39848121,39848198,"IAPLTR2a",39847672,39847703,"IAPEz-int"
"34",39847997,39848077,"IAPEz-int",39848101,39848189,"IAPLTR2a"
"35",39848124,39848201,"IAPLTR2a",39847693,39847775,"IAPEz-int"
"36",39848005,39848085,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"37",39847992,39848072,"IAPEz-int",39848105,39848193,"IAPLTR2a"
"38",39847992,39848072,"IAPEz-int",39848103,39848191,"IAPLTR2a"
"39",39847959,39848039,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"40",39848164,39848201,"IAPLTR2a",39847884,39847960,"IAPEz-int"
"41",39847991,39848071,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"42",39848179,39848201,"IAPLTR2a",39847884,39848009,"IAPEz-int"
"43",39848182,39848198,"IAPLTR2a",39846411,39846509,"IAPEz-int"
"44",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"45",39848121,39848201,"IAPLTR2a",39847762,39847832,"IAPEz-int"
"46",39847997,39848077,"IAPEz-int",39848105,39848193,"IAPLTR2a"
"47",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"48",39847991,39848071,"IAPEz-int",39848110,39848200,"IAPLTR2a"
"49",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"50",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"51",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"52",39848138,39848201,"IAPLTR2a",39848002,39848070,"IAPEz-int"
"53",39848009,39848089,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"54",39848160,39848201,"IAPLTR2a",39847998,39848072,"IAPEz-int"
"55",39848152,39848201,"IAPLTR2a",39847998,39848061,"IAPEz-int"
"56",39848182,39848198,"IAPLTR2a",39846353,39846489,"IAPEz-int"
"57",39848003,39848083,"IAPEz-int",39848106,39848194,"IAPLTR2a"
"58",39847997,39848077,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"59",39848128,39848201,"IAPLTR2a",39847995,39848093,"IAPEz-int"
"60",39847989,39848069,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"61",39847998,39848078,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"62",39847988,39848068,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"63",39848181,39848201,"IAPLTR2a",39847753,39847851,"IAPEz-int"
"64",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"65",39847997,39848077,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"66",39848122,39848160,"IAPLTR2a",39847847,39847945,"IAPEz-int"
"67",39848155,39848201,"IAPLTR2a",39847793,39847897,"IAPEz-int"
"68",39848152,39848201,"IAPLTR2a",39847934,39848032,"IAPEz-int"
"69",39847992,39848072,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"70",39847978,39848058,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"71",39848182,39848199,"IAPLTR2a",39847894,39847992,"IAPEz-int"
"72",39848182,39848201,"IAPLTR2a",39847798,39847864,"IAPEz-int"
"73",39848128,39848185,"IAPLTR2a",39847743,39847791,"IAPEz-int"
"74",39848146,39848199,"IAPLTR2a",39847775,39847873,"IAPEz-int"
"75",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"76",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"77",39848152,39848198,"IAPLTR2a",39847517,39847548,"IAPEz-int"
"78",39848182,39848201,"IAPLTR2a",39847976,39848102,"IAPEz-int"
"79",39848143,39848201,"IAPLTR2a",39847867,39847905,"IAPEz-int"
"80",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"81",39847988,39848068,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"82",39848011,39848091,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"83",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"84",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"85",39848010,39848090,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"86",39848152,39848200,"IAPLTR2a",39847812,39847844,"IAPEz-int"
"87",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"88",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"89",39848006,39848086,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"90",39847995,39848075,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"91",39847993,39848073,"IAPEz-int",39848111,39848199,"IAPLTR2a"
"92",39848153,39848201,"IAPLTR2a",39847733,39847768,"IAPEz-int"
"93",39848001,39848081,"IAPEz-int",39848112,39848202,"IAPLTR2a"
"94",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"95",39847997,39848077,"IAPEz-int",39848114,39848202,"IAPLTR2a"
"96",39848121,39848201,"IAPLTR2a",39848029,39848056,"IAPEz-int"
"97",39848182,39848201,"IAPLTR2a",39847847,39847945,"IAPEz-int"
"98",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"99",39848182,39848201,"IAPLTR2a",39847696,39847794,"IAPEz-int"
"100",39848182,39848198,"IAPLTR2a",3201471,3201546,"IAPEz-int"
"101",39848143,39848201,"IAPLTR2a",39846499,39846525,"IAPEz-int"
"102",39848004,39848084,"IAPEz-int",39848112,39848201,"IAPLTR2a"
"103",39848182,39848201,"IAPLTR2a",39847844,39847981,"IAPEz-int"
"104",39847993,39848073,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"105",39848008,39848088,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"106",39848121,39848201,"IAPLTR2a",39847865,39847935,"IAPEz-int"
"107",39848152,39848198,"IAPLTR2a",39847538,39847565,"IAPEz-int"
"108",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"109",39847992,39848072,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"110",39848160,39848201,"IAPLTR2a",39847979,39848047,"IAPEz-int"
"111",39848143,39848201,"IAPLTR2a",39847875,39847956,"IAPEz-int"
"112",39848164,39848201,"IAPLTR2a",39847224,39847286,"IAPEz-int"
"113",39848143,39848159,"IAPLTR2a",39847917,39847962,"IAPEz-int"
"114",39848138,39848199,"IAPLTR2a",39848014,39848039,"IAPEz-int"
"115",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"116",39848163,39848201,"IAPLTR2a",39847314,39847373,"IAPEz-int"
"117",39847992,39848072,"IAPEz-int",39848106,39848194,"IAPLTR2a"
"118",39848152,39848201,"IAPLTR2a",39847858,39847956,"IAPEz-int"
"119",39848163,39848201,"IAPLTR2a",39847767,39847817,"IAPEz-int"
"120",39848007,39848087,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"121",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"122",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"123",39847988,39848068,"IAPEz-int",39848110,39848198,"IAPLTR2a"
"124",39848099,39848196,"IAPLTR2a",39847761,39847796,"IAPEz-int"
"125",39848012,39848092,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"126",39847992,39848072,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"127",39847999,39848079,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"128",39848182,39848201,"IAPLTR2a",39847220,39847278,"IAPEz-int"
"129",39847997,39848077,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"130",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"131",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"132",39848143,39848159,"IAPLTR2a",39847813,39847831,"IAPEz-int"
"133",39848152,39848201,"IAPLTR2a",39847824,39847922,"IAPEz-int"
"134",39847997,39848077,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"135",39847998,39848078,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"136",39848182,39848201,"IAPLTR2a",39847693,39847711,"IAPEz-int"
"137",39848105,39848170,"IAPLTR2a",39847891,39847978,"IAPEz-int"
"138",39848099,39848201,"IAPLTR2a",39847560,39847586,"IAPEz-int"
"139",39848152,39848201,"IAPLTR2a",39847508,39847581,"IAPEz-int"
"140",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"141",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"142",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"143",39847986,39848066,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"144",39847979,39848059,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"145",39848142,39848196,"IAPLTR2a",39847659,39847690,"IAPEz-int"
"146",39847998,39848078,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"147",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"148",39847988,39848068,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"149",39848163,39848196,"IAPLTR2a",3201487,3201534,"IAPEz-int"
"150",39848006,39848086,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"151",39848152,39848201,"IAPLTR2a",39847975,39848014,"IAPEz-int"
"152",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"153",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"154",39848163,39848192,"IAPLTR2a",39847760,39847842,"IAPEz-int"
"155",39847989,39848069,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"156",39848007,39848087,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"157",39847993,39848073,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"158",39848143,39848201,"IAPLTR2a",39847945,39847992,"IAPEz-int"
"159",39847992,39848072,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"160",39848005,39848085,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"161",39848008,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"162",39848012,39848092,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"163",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"164",39848004,39848084,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"165",39848163,39848201,"IAPLTR2a",39847956,39848055,"IAPEz-int"
"166",39848182,39848201,"IAPLTR2a",39846436,39846490,"IAPEz-int"
"167",39848182,39848199,"IAPLTR2a",39847896,39847994,"IAPEz-int"
"168",39848149,39848194,"IAPLTR2a",39847233,39847273,"IAPEz-int"
"169",39847988,39848068,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"170",39848124,39848201,"IAPLTR2a",39847795,39847812,"IAPEz-int"
"171",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"172",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"173",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"174",39848182,39848199,"IAPLTR2a",39847945,39848044,"IAPEz-int"
"175",39848182,39848201,"IAPLTR2a",39847906,39848015,"IAPEz-int"
"176",39848182,39848201,"IAPLTR2a",3201483,3201563,"IAPEz-int"
"177",39848182,39848201,"IAPLTR2a",39847884,39848009,"IAPEz-int"
"178",39848141,39848170,"IAPLTR2a",39847892,39847990,"IAPEz-int"
"179",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"180",39848006,39848086,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"181",39848116,39848153,"IAPLTR2a",39847636,39847691,"IAPEz-int"
"182",39848121,39848195,"IAPLTR2a",39847625,39847668,"IAPEz-int"
"183",39847976,39848056,"IAPEz-int",39848103,39848191,"IAPLTR2a"
"184",39848133,39848201,"IAPLTR2a",39848012,39848059,"IAPEz-int"
"185",39848143,39848167,"IAPLTR2a",39847090,39847188,"IAPEz-int"
"186",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"187",39848138,39848201,"IAPLTR2a",39847929,39848005,"IAPEz-int"
"188",39848182,39848201,"IAPLTR2a",39847865,39847963,"IAPEz-int"
"189",39848164,39848201,"IAPLTR2a",3201498,3201532,"IAPEz-int"
"190",39848163,39848201,"IAPLTR2a",39847495,39847593,"IAPEz-int"
"191",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"192",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"193",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"194",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"195",39848151,39848168,"IAPLTR2a",3201455,3201529,"IAPEz-int"
"196",39847987,39848067,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"197",39848182,39848201,"IAPLTR2a",39847892,39847990,"IAPEz-int"
"198",39847997,39848077,"IAPEz-int",39848099,39848187,"IAPLTR2a"
"199",39848182,39848201,"IAPLTR2a",39847483,39847581,"IAPEz-int"
"200",39848141,39848199,"IAPLTR2a",39847517,39847599,"IAPEz-int"
"201",39847988,39848068,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"202",39848163,39848200,"IAPLTR2a",39847441,39847533,"IAPEz-int"
"203",39848182,39848201,"IAPLTR2a",39847727,39847847,"IAPEz-int"
"204",39847997,39848077,"IAPEz-int",39848103,39848191,"IAPLTR2a"
"205",39848149,39848198,"IAPLTR2a",39846923,39847026,"IAPEz-int"
"206",39848151,39848201,"IAPLTR2a",39848030,39848082,"IAPEz-int"
"207",39847992,39848072,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"208",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"209",39848117,39848165,"IAPLTR2a",39847975,39848073,"IAPEz-int"
"210",39848119,39848201,"IAPLTR2a",39847529,39847563,"IAPEz-int"
"211",39848006,39848086,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"212",39848182,39848201,"IAPLTR2a",3201450,3201546,"IAPEz-int"
"213",39847992,39848072,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"214",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"215",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"216",39848140,39848194,"IAPLTR2a",39847442,39847541,"IAPEz-int"
"217",39847988,39848068,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"218",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"219",39847992,39848072,"IAPEz-int",39848103,39848191,"IAPLTR2a"
"220",39848155,39848200,"IAPLTR2a",39847850,39847948,"IAPEz-int"
"221",39848182,39848201,"IAPLTR2a",39846352,39846414,"IAPEz-int"
"222",39848099,39848179,"IAPLTR2a",39848005,39848093,"IAPEz-int"
"223",39847990,39848070,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"224",39847989,39848069,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"225",39847990,39848070,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"226",39847977,39848057,"IAPEz-int",39848114,39848202,"IAPLTR2a"
"227",39848182,39848201,"IAPLTR2a",39847782,39847871,"IAPEz-int"
"228",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"229",39848163,39848201,"IAPLTR2a",39847694,39847737,"IAPEz-int"
"230",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"231",39848150,39848201,"IAPLTR2a",39847944,39847982,"IAPEz-int"
"232",39848182,39848201,"IAPLTR2a",39847844,39847942,"IAPEz-int"
"233",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"234",39848128,39848201,"IAPLTR2a",39848026,39848086,"IAPEz-int"
"235",39848160,39848201,"IAPLTR2a",39847659,39847715,"IAPEz-int"
"236",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"237",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"238",39848099,39848179,"IAPLTR2a",39847770,39847858,"IAPEz-int"
"239",39847992,39848072,"IAPEz-int",39848102,39848190,"IAPLTR2a"
"240",39847988,39848068,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"241",39847992,39848072,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"242",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"243",39848163,39848201,"IAPLTR2a",39847645,39847744,"IAPEz-int"
"244",39848182,39848201,"IAPLTR2a",39847675,39847767,"IAPEz-int"
"245",39848002,39848082,"IAPEz-int",39848110,39848198,"IAPLTR2a"
"246",39848182,39848201,"IAPLTR2a",39847920,39848053,"IAPEz-int"
"247",39848007,39848087,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"248",39847997,39848077,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"249",39847991,39848071,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"250",39848006,39848086,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"251",39847997,39848077,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"252",39848183,39848201,"IAPLTR2a",39847796,39847864,"IAPEz-int"
"253",39848182,39848201,"IAPLTR2a",39847697,39847780,"IAPEz-int"
"254",39848154,39848201,"IAPLTR2a",39847171,39847256,"IAPEz-int"
"255",39848182,39848201,"IAPLTR2a",39847547,39847578,"IAPEz-int"
"256",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"257",39847992,39848072,"IAPEz-int",39848103,39848191,"IAPLTR2a"
"258",39848154,39848197,"IAPLTR2a",39847801,39847899,"IAPEz-int"
"259",39848117,39848201,"IAPLTR2a",39847654,39847677,"IAPEz-int"
"260",39847992,39848073,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"261",39847992,39848072,"IAPEz-int",39848105,39848193,"IAPLTR2a"
"262",39848182,39848201,"IAPLTR2a",39847895,39847993,"IAPEz-int"
"263",39847992,39848072,"IAPEz-int",39848110,39848198,"IAPLTR2a"
"264",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"265",39848144,39848201,"IAPLTR2a",39847795,39847834,"IAPEz-int"
"266",39848119,39848201,"IAPLTR2a",39847547,39847573,"IAPEz-int"
"267",39848148,39848201,"IAPLTR2a",39846353,39846393,"IAPEz-int"
"268",39848182,39848201,"IAPLTR2a",39847573,39847671,"IAPEz-int"
"269",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"270",39847993,39848073,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"271",39848182,39848201,"IAPLTR2a",39847877,39847986,"IAPEz-int"
"272",39848153,39848199,"IAPLTR2a",39847218,39847317,"IAPEz-int"
"273",39848154,39848201,"IAPLTR2a",39847988,39848055,"IAPEz-int"
"274",39848163,39848201,"IAPLTR2a",39847693,39847767,"IAPEz-int"
"275",39848143,39848201,"IAPLTR2a",3201505,3201543,"IAPEz-int"
"276",39848160,39848198,"IAPLTR2a",39847468,39847566,"IAPEz-int"
"277",39848182,39848201,"IAPLTR2a",39847707,39847779,"IAPEz-int"
"278",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"279",39848001,39848081,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"280",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"281",39848155,39848201,"IAPLTR2a",39847980,39848025,"IAPEz-int"
"282",39848104,39848184,"IAPLTR2a",39847984,39848072,"IAPEz-int"
"283",39847999,39848079,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"284",39848182,39848201,"IAPLTR2a",39847782,39847847,"IAPEz-int"
"285",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"286",39848112,39848192,"IAPLTR2a",39847853,39847941,"IAPEz-int"
"287",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"288",39848141,39848199,"IAPLTR2a",39847517,39847582,"IAPEz-int"
"289",39848005,39848085,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"290",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"291",39847997,39848077,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"292",39848152,39848201,"IAPLTR2a",39847583,39847681,"IAPEz-int"
"293",39847974,39848054,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"294",39848152,39848201,"IAPLTR2a",39847913,39848011,"IAPEz-int"
"295",39848183,39848201,"IAPLTR2a",39847957,39848094,"IAPEz-int"
"296",39848123,39848201,"IAPLTR2a",39847766,39847798,"IAPEz-int"
"297",39847998,39848078,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"298",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"299",39847989,39848069,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"300",39847992,39848072,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"301",39847995,39848075,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"302",39848155,39848197,"IAPLTR2a",39847091,39847173,"IAPEz-int"
"303",39847992,39848073,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"304",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"305",39848112,39848192,"IAPLTR2a",39847745,39847832,"IAPEz-int"
"306",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"307",39848154,39848201,"IAPLTR2a",39847357,39847397,"IAPEz-int"
"308",39848012,39848092,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"309",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"310",39848121,39848201,"IAPLTR2a",39846388,39846476,"IAPEz-int"
"311",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"312",39848121,39848199,"IAPLTR2a",39848019,39848060,"IAPEz-int"
"313",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"314",39848182,39848201,"IAPLTR2a",39847845,39847945,"IAPEz-int"
"315",39847998,39848078,"IAPEz-int",39848100,39848189,"IAPLTR2a"
"316",39847992,39848072,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"317",39848096,39848176,"IAPLTR2a",3201484,3201572,"IAPEz-int"
"318",39848182,39848201,"IAPLTR2a",39847822,39847923,"IAPEz-int"
"319",39848099,39848155,"IAPLTR2a",39848022,39848069,"IAPEz-int"
"320",39847979,39848059,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"321",39848182,39848201,"IAPLTR2a",39847822,39847920,"IAPEz-int"
"322",39848121,39848168,"IAPLTR2a",39847504,39847565,"IAPEz-int"
"323",39847986,39848066,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"324",39847995,39848075,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"325",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"326",39848162,39848201,"IAPLTR2a",39847749,39847847,"IAPEz-int"
"327",39848007,39848087,"IAPEz-int",39848114,39848202,"IAPLTR2a"
"328",39847991,39848071,"IAPEz-int",39848110,39848200,"IAPLTR2a"
"329",39847997,39848077,"IAPEz-int",39848109,39848197,"IAPLTR2a"
"330",39848165,39848201,"IAPLTR2a",39847898,39848006,"IAPEz-int"
"331",39848155,39848201,"IAPLTR2a",39848002,39848029,"IAPEz-int"
"332",39847998,39848078,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"333",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"334",39848140,39848198,"IAPLTR2a",39847195,39847267,"IAPEz-int"
"335",39847997,39848077,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"336",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"337",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"338",39847997,39848077,"IAPEz-int",39848101,39848189,"IAPLTR2a"
"339",39848007,39848087,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"340",39848121,39848201,"IAPLTR2a",39848035,39848054,"IAPEz-int"
"341",39848121,39848199,"IAPLTR2a",39847689,39847787,"IAPEz-int"
"342",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"343",39848121,39848199,"IAPLTR2a",39847517,39847581,"IAPEz-int"
"344",39848158,39848201,"IAPLTR2a",39847439,39847556,"IAPEz-int"
"345",39848121,39848159,"IAPLTR2a",39847898,39847996,"IAPEz-int"
"346",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"347",39848144,39848201,"IAPLTR2a",39847795,39847834,"IAPEz-int"
"348",39847992,39848072,"IAPEz-int",39848100,39848188,"IAPLTR2a"
"349",39848163,39848201,"IAPLTR2a",39847694,39847786,"IAPEz-int"
"350",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"351",39848182,39848201,"IAPLTR2a",39847981,39848050,"IAPEz-int"
"352",39847988,39848068,"IAPEz-int",39848104,39848192,"IAPLTR2a"
"353",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"354",39848140,39848201,"IAPLTR2a",39847969,39847995,"IAPEz-int"
"355",39848182,39848201,"IAPLTR2a",39846971,39847069,"IAPEz-int"
"356",39847995,39848075,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"357",39848006,39848086,"IAPEz-int",39848113,39848201,"IAPLTR2a"
