start1,end1,name1,start2,end2,name2
10688754,10688832,Grm1,3458955,3459042,Gm1973
108337814,108337881,1700013F07Rik,1.0833466410833779e+17,1.0833469610833779e+17,5330417C22Rik
47258905,47258949,Neurl1a,93878087,93878185,Cmya5
89114758,89114822,Gm2016,32082803,32082820,Dnahc1
123462033,123462113,Sacm1l,70963688,70963776,Dlgap1
8984945689940961,8984946389941034,Xrcc4,89849321,89849409,Vcan
99139107,99139196,Prpf40b,123462125,123462153,Sacm1l
78350926,78351006,Fut8,123461921,123462009,Sacm1l
123462034,123462082,Sacm1l,78350925,78351023,Fut8
6026276560270317,6026278360270379,Drg2,60262651,60262739,4933439F18Rik
122857521,122857613,1110059G10Rik,122857631122861700,122857638122861730,Kif15
40803585,40803668,Crtam,18900634,18900677,Cdh10
113880130113881680,113880186113881730,Ubp1,113881731113889950,113881751113890020,Fbxl2
3431434934332123,3431436034332128,Kalrn,41612054,41612152,Trpv5
108746866,108746916,Celsr3,54438448,54438520,Rapgef6
120265966,120265982,Ganc,115974878,115974976,Gadl1
78350933,78351013,Fut8,123461893,123461981,Sacm1l
79620353,79620433,Nptxr,79620235,79620323,Npcd
99250351,99250399,Esyt3,4531966245320270,4531969945320336,Rg9mtd3
109056802109057780,109056816109057860,2400001E08Rik,109054413109056740,109054458109056780,Tomt
49308954,49308985,Kcnip4,119662950,119663010,Hs6st3
79862701,79862718,Wbp4,138459086,138459184,Otud3
87801834,87801879,Crtc3,102471186,102471288,Sgip1
162903490,162903580,Rab9,134317122,134317140,Dstyk
74270990,74271070,Robo2,9865667,9865755,Colec12
123462015,123462095,Sacm1l,70963671,70963759,Dlgap1
11144097,11144177,Zc3h7a,111275433,111275521,Trank1
92105440,92105480,Vmn2r65,27727078,27727151,Asb14
5310753453344401,5310757153344444,Samd12,53106045,53106133,Ext1
74362015,74362095,Ahrr,123462092,123462180,Sacm1l
84030321,84030400,Kcng3,17186328,17186416,Csmd1
8757636,8757652,Adarb2,66106235,66106350,Kcnq3
5379250,5379340,Camk1d,17776748,17776783,Gnai1
70963683,70963779,Dlgap1,123462080,123462095,Sacm1l
77513502,77513592,Dnmt3l,85457008554791,85457458554802,Stmn2
89766359,89766439,Dok6,104862130,104862218,Clns1a
83796145,83796225,Gm13698,8379742583801769,8379745283801830,Gm13693
78350919,78350998,Fut8,123461929,123462017,Sacm1l
67661131,67661211,Mdga2,52372577,52372667,Alcam
119532749,119532839,Hivep3,70984181,70984199,Nlrp1b
83773247,83773337,Zswim2,47189173,47189201,Pdcd11
88212679,88212734,Pmf1,24178640,24178663,Prss27
166681314,166681392,Arfgef2,70531812,70531900,Psd3
118674952,118674983,Itga9,43336250,43336338,Tpk1
31211647,31211727,Nfrkb,31177941,31178029,Prdm10
110281286,110281307,Scap,99392115,99392226,Armc8
29308925,29309005,Cpne5,164432738,164432826,Frmpd4
123462080,123462160,Sacm1l,11143905,11143993,Zc3h7a
123462080,123462161,Sacm1l,90395145,90395171,Ptprj
75160448,75160505,Gnb5,7515196975153755,7515203375153789,Myo5c
181174132,181174191,Smyd3,98833301,98833397,Rara
123462018,123462082,Sacm1l,35605195,35605293,Sil1
25746752,25746842,Celf4,97190547,97190605,Ankdd1b
123461952,123462032,Sacm1l,112578180,112578268,Map3k1
108386625,108386705,Itpr1,1564959341564965e11,1564959641564965e11,Dlgap4
78350927,78351007,Fut8,123461930,123462018,Sacm1l
108213904,108213984,Itpr1,31775451,31775539,Dlg1
123462020,123462100,Sacm1l,70963680,70963768,Dlgap1
136713466,136713546,Mkks,136713594136756060,136713600136756160,2210009G21Rik
78350927,78351007,Fut8,123461900,123461988,Sacm1l
118674952,118674994,Itga9,70963676,70963774,Dlgap1
39001682,39001762,Scai,156366404,156366492,Cacna1e
86045310,86045390,Lrba,67667916,67668005,Mdga2
7996318479963458e8,7996318779963466e8,Lmnb2,130279169,130279251,Ptpra
78350933,78351013,Fut8,123461941,123462029,Sacm1l
125113477,125113557,Gapdh,125110099125110240,125110142125110270,Iffo1
115957809,115957899,Pxn,99775227,99775260,Kcnk10
70352530,70352611,Chrna7,36670215,36670303,Lingo2
7003062470030866,7003065470030906,Slc16a13,26662512,26662591,Anxa11
146592688146595170,146592747146595200,Med21,146590005146592640,146590036146592670,Tm7sf3
8455304384553261,8455313084553264,Inpp4b,176703329,176703351,Fmn2
62092485,62092565,Fam190a,31205931,31206019,Slc7a14
120268942,120268959,Gm8439,76612956,76613080,Ppp2r5e
123461997,123462077,Sacm1l,70963684,70963772,Dlgap1
78350933,78351013,Fut8,123461909,123461997,Sacm1l
5309525,5309603,Znrf3,66982017,66982105,Rsrc1
12517505,12517595,Ptprg,6674735066771606,6674737766771662,Cadm2
83276390,83276406,Mmp28,99479627,99479707,Dlg2
114008194,114008274,Esm1,114008292,114008380,Gzmk
118674952,118674994,Itga9,47556740,47556838,Cadm1
89766301,89766381,Dok6,104862142,104862230,Clns1a
88693055,88693135,Akap1,113026506,113026594,Klc1
69739203,69739283,Slc16a9,125739024,125739112,Galk2
49136663,49136743,Kcnip4,68813091,68813179,Rora
123462080,123462160,Sacm1l,70963742,70963830,Dlgap1
125426414,125426476,Dpp10,20506704,20506792,Etl4
118459154,118459234,Cntnap5a,68650618,68650706,Erbb4
6096903660969994e8,6096904360970044e8,Cd74,6098007260984325,6098015460984331,Tcof1
4645480646473571,4645484646473611,Actr1a,46473584,46473672,Sufu
49236428,49236528,Grik2,96529032,96529047,Polr3c
133102299,133102316,Rassf5,117077289,117077416,Sept9
67433977,67434057,Cadm2,44861506,44861594,Zeb2
7163479,7163542,Pcmtd1,110060813,110060877,Pde4d
7457413974575838,7457416874575889,2300005B03Rik,7457591074580564,7457592474580638,Lynx1
140767373,140767390,Alg13,78272658,78272756,Slc1a6
113199405,113199439,Fmn1,31216043,31216141,Emilin1
78350925,78351005,Fut8,123461898,123461986,Sacm1l
120024286,120024374,Pla2g4e,143557676,143557738,Pcsk2
25058387,25058467,Mapk8ip3,2507036125080263,2507036425080348,Hn1l
57637529,57637637,Rnf13,35771913581751,35772003581756,BC016423
118975172,118975252,Cacna1c,44869584,44869672,Jarid2
32191852,32191892,Sh3bp5,123461889,123461974,Sacm1l
117674096,117674186,St3gal3,63255478,63255511,Grid2
67065160,67065240,Cadm2,63833590,63833678,Epha3
78350926,78351006,Fut8,123461928,123462016,Sacm1l
47710884477124726e7,4771090147712508e8,Samd4,24878905,24878948,Mll3
118674952,118675013,Itga9,123462086,123462184,Sacm1l
123461933,123461987,Sacm1l,155288704,155288801,1700012A16Rik
53330945,53331035,Samd12,44676079,44676110,Mcc
123462018,123462098,Sacm1l,70963690,70963778,Dlgap1
30500768,30500832,Btbd9,98063116,98063151,Prdm15
78350924,78351004,Fut8,123461932,123462020,Sacm1l
123462021,123462101,Sacm1l,70963684,70963772,Dlgap1
137895222,137895302,Col4a6,79608120,79608208,Ap1s3
123462151,123462176,Sacm1l,14253116,14253190,Arid4b
56223574,56223684,C230081A13Rik,123462084,123462135,Sacm1l
5649076,5649185,Zeb1,85926810,85926827,Vsx2
136042829,136042919,Grin2b,9116947291172164,9116949191172214,Fbln2
73506770,73506850,Bche,144396926,144397014,Ebf3
74991979,74992059,Snrpd3,75014868,75014956,AI646023
95036591,95036671,Slc9a9,65201730,65201818,Pdcd7
65201757,65201843,Pdcd7,149120032,149120046,Slc25a33
118674952,118675012,Itga9,123462058,123462126,Sacm1l
99261390,99261471,Dlg2,26807270,26807356,Smarca2
6068718560687811,6068719560687881,Uaca,6068015060685034,6068017160685101,Gm9869
123462158,123462175,Sacm1l,104817755,104817853,Ppp4r4
67065160,67065240,Cadm2,123022435,123022523,Sox6
106524077,106524098,Cntn4,47875682,47875797,Tfeb
80042172,80042252,Lrrtm4,57595908,57595996,Edc3
102979893,102979972,Arhgap24,47788072,47788160,Zfp398
123462014,123462083,Sacm1l,55294054,55294152,Gucy2g
104677631,104677702,Prrg4,3695843736961638,3695850936961655,Tnks2
55519181,55519278,Nbea,39026319,39026342,Igsf11
5217256452173470,5217257352173541,Gm5622,5217212252172447,5217215052172507,Gm7247
135191248,135191283,8430419L09Rik,134780624,134780677,Lrrn2
3197274,3197382,Scaf8,127239861127241920,127239897127241920,Rdh16
64279291,64279410,Xkr6,4619441,4619456,Pcx
33754994,33755045,Kcnip1,97190551,97190603,Ankdd1b
123461997,123462077,Sacm1l,70963687,70963775,Dlgap1
32176603,32176693,Sh3bp5,106207089,106207107,Scn4a
41589518,41589582,Lsamp,92649318,92649416,Prickle2
123461871,123461917,Sacm1l,60134998,60135096,Cdh23
114852002,114852032,Ube3b,97190549,97190603,Ankdd1b
77781858,77781931,Rnf165,68755896,68755994,Rora
80042172,80042252,Lrrtm4,57595912,57596000,Edc3
57595910,57595990,Edc3,52007857,52007946,Gm7247
34864645,34864662,Gfra3,12435519,12435617,Ptprg
113689741,113689821,Sgsm1,119606677,119606765,Rpap1
32587887,32587977,Khdrbs2,113901597,113901613,Sdk2
78350940,78351020,Fut8,123461941,123462029,Sacm1l
16915487,16915524,Sae1,119626581,119626627,Hivep3
123462054,123462186,Sacm1l,97190551,97190573,Ankdd1b
69834007,69834089,Dlg4,6982845469830562,6982851469830590,Acadvl
78350919,78350998,Fut8,123461904,123461992,Sacm1l
109175018,109175098,Rnf121,109143609109174910,109143669109174960,Numa1
73311733,73311813,Slain2,18407320,18407408,Comt
77759012,77759092,Txn2,134900833,134900921,Mdm4
106420474106420960,106420550106420960,Fam151a,106421022106423460,106421051106423520,Acot11
123462014,123462082,Sacm1l,78350925,78351023,Fut8
42901525,42901555,Phactr1,5165439,5165555,Arid1b
116489183,116489199,Agl,3693139436940096,3693141336940176,D5Ertd579e
123461997,123462077,Sacm1l,70963684,70963772,Dlgap1
183356555,183356635,Cnih3,76913473,76913561,Gm7271
78350933,78351013,Fut8,123461932,123462020,Sacm1l
118674952,118674984,Itga9,123462084,123462126,Sacm1l
7213728972141152e8,721373147214117e9,B230120H23Rik,72031083,72031118,Rapgef4
25510545,25510580,AW554918,167065003,167065078,Ptgis
123462018,123462082,Sacm1l,156526967156529380,156526993156529470,Dlgap4
123461991,123462071,Sacm1l,70963683,70963771,Dlgap1
80211877,80211967,Cacna1i,80192871,80192894,Lrrtm4
116366690116392820,116366706116392880,Slc35a3,116366646,116366690,Hiat1
6242306362433562,6242306762433616,BC046404,138170479,138170577,Vwa5b1
102760546102852880,102760565102852940,Slc35d1,102760456,102760544,Wdr78
145852302145853150,1.4585232414585318e+17,Mcoln2,145853257145889100,145853276145889150,Lpar3
120720904120731250,120720962120731280,Cecr2,120731314,120731402,Slc25a18
77835091,77835181,Ptprd,182887522182888800,182887531182888800,Tmem63a
123462033,123462050,Sacm1l,104959767,104959867,2410002O22Rik
8615908,8615958,Abat,96818893,96818993,Sp2
31168716,31168796,Prdm10,9531489,9531577,Fam155a
115490292,115490372,Sppl3,118296263,118296351,Cntnap5a
46675474,46675546,Cul9,47788070,47788130,Zfp398
13417142,13417222,Grk1,33967867,33967956,Wdfy4
44869943,44870023,Jarid2,57391484,57391572,Filip1l
9794467797945648,9794469897945668,Gfm2,9794692397951568,9794698197951592,Hexb
109771156,109771177,Ntng1,16962491,16962589,Sae1
80441437,80441488,Rad51l1,123461868,123461929,Sacm1l
108703694,108703774,Ccdc46,34116872,34116960,Ripk1
66805281,66805330,Ptk2b,69531990,69532089,Tcf4
75222731,75222811,Nwd1,63522236,63522324,Wdfy2
136538215,136538246,Zbtb40,70963679,70963777,Dlgap1
131755485,131755565,Wbscr17,32064792,32064880,Wdr33
78350924,78351004,Fut8,123461903,123461991,Sacm1l
152213297,152213404,Gm15155,156540431,156540458,Dlgap4
83956489,83956569,Mnd1,4430137944303e3,4430144444303023,Scd3
78350924,78351004,Fut8,123461921,123462009,Sacm1l
69834009,69834089,Dlg4,6982845469830562,6982851469830590,Acadvl
120534812,120534902,Stard9,97190548,97190626,Ankdd1b
49395649,49395739,Ncam1,4934068049395584,4934072449395618,Gm11149
123462080,123462103,Sacm1l,161169331,161169438,Rfwd2
5009978,5010058,Rogdi,77790064,77790152,Elovl5
78351153,78351174,Fut8,123461957,123462015,Sacm1l
131919449,131919529,Slc23a2,74361997,74362085,Bai1
9009741190097864,9009746090097864,Tbc1d2b,2962078529621464,2962087929621471,Opa1
156366462,156366491,Cacna1e,39001608,39001688,Scai
25753360,25753440,Celf4,2553770925679412,2553775525679454,AW554918
118674952,118674984,Itga9,70963683,70963781,Dlgap1
122565282,122565362,Usp15,91116446,91116534,9930013L23Rik
133534489,133534523,Dhdds,144743619,144743710,Rsph10b2
168511987,168512077,Atp9a,12812628,12812678,Atp11a
118674952,118674983,Itga9,123462082,123462154,Sacm1l
101048490101055020,101048525101055070,Ezh1,101044621101048400,101044623101048480,Cntnap1
4136316,4136396,Cabp4,105969067,105969155,Brwd3
15545169,15545249,Kcnb2,2336135923361586,2336140423361629,Usp34
63394604,63394645,Grid2,3116464831167560,3116467331167616,Prdm10
56436137,56436162,Arrdc5,5645495056458191,5645501956458192,Uhrf1
47788096,47788142,Zfp398,144389828,144389876,Ebf3
61400322,61400402,Pde6a,61323217,61323305,Hmgxb3
78350940,78351020,Fut8,123461941,123462029,Sacm1l
43382112,43382192,Atp8b5,43414691,43414779,Rusc2
9763804,9763894,Fam155a,112903479,112903495,Dchs1
13470633,13470664,Gas6,83149665,83149763,Arfgap3
119452489,119452579,Scn5a,85638962,85639034,Ptgr2
123461981,123462032,Sacm1l,47779689,47779787,Sgcd
23489594,23489674,0610010F05Rik,66654505,66654593,Aff2
70963681,70963793,Dlgap1,123461966,123461989,Sacm1l
43429078,43429095,Rusc2,97113632,97113695,Lrrc4c
123421338,123421412,Gm20388,62971478,62971576,Kcnh7
31458581,31458637,March6,125277580,125277678,Dnahc10
48807525,48807605,Tgtp1,48807604,48807692,Olfr56
118674952,118675009,Itga9,123462082,123462121,Sacm1l
32764813,32764903,Ppp1cb,182873604,182873653,Tmem63a
123462015,123462095,Sacm1l,70963690,70963778,Dlgap1
121640816,121640896,Cdh13,37893140,37893228,Trim24
95713225,95713315,Ces1d,97190559,97190603,Ankdd1b
123462018,123462082,Sacm1l,5379309,5379370,Camk1d
123462034,123462114,Sacm1l,70963692,70963780,Dlgap1
88725020,88725100,Sptlc2,88794519,88794607,Snw1
45267354,45267434,Cntnap2,117976919,117977007,Gpc6
63681733,63681813,Grid2,125802655,125802743,Ano2
127527891,127527971,Abca15,57045292,57045380,Mllt1
115811453,115811470,Pomgnt1,71720477,71720538,Col22a1
113653073,113653133,Clasp2,30242807,30242863,Cacna2d3
38933914,38933994,Slc25a32,3893404538949117,3893407638949174,Dcaf13
90371227,90371317,Anks1b,38527034,38527049,Stx18
57595910,57595990,Edc3,52007857,52007946,Gm7247
116023934116024350,116024019116024380,Fbf1,83574160,83574177,Heatr6
10688753,10688831,Grm1,3458955,3459043,Gm1973
145110915,145111005,Gm13225,172284668172284770,172284675172284800,Nos1ap
122576788,122576868,Gm20388,122576521,122576609,Crispld2
41924947,41924986,Lrp1b,103550506,103550554,Odz4
78350927,78351007,Fut8,123461925,123462013,Sacm1l
29430159,29430239,Mtif2,29447944,29448032,1700034F02Rik
32612376,32612456,Fbxw11,1.0765768810765781e+17,107657711107657890,Rbm5
143107605,143107685,Gm13043,13953953,13954041,Ralyl
78350927,78351007,Fut8,123461931,123462019,Sacm1l
135852541,135852621,Nsun5,135852635,135852723,Pom121
122628997,122629029,Sox6,25854546,25854648,Nlgn1
127242658,127242738,Rdh16,64909376,64909464,Dpp8
78350931,78351011,Fut8,123461931,123462019,Sacm1l
66212459,66212497,Shisa6,31456330,31456446,March6
3405524834056051,3405532534056054,Zbtb22,3405640134056544,3405644634056587,Tapbp
3120841731220302,3120845631220343,Emilin1,3120766031208012,3120769531208065,Agbl5
136713453,136713533,Mkks,136713595136756060,136713600136756160,2210009G21Rik
33150089,33150174,Camk4,84447558,84447612,Inpp4b
123461972,123462049,Sacm1l,112578192,112578290,Map3k1
123462115,123462158,Sacm1l,36291789,36291877,Nrg2
14515638,14515718,Hecw1,34002997,34003085,Tacc3
32233903,32233983,Iws1,65821205,65821293,Csnk1g1
1830151818302685,1830155218302731,D16H22S680E,134852275,134852363,Plcb1
123462018,123462082,Sacm1l,112578181,112578243,Map3k1
36809932,36810012,Dgki,3674443736809893,3674450536809913,Ptn
116043282,116043306,Tmcc1,21775070,21775168,Vcl
80616290,80616380,Chd2,9333169493334542,9333169993334552,Per2
49444587,49444677,Odz3,123462082,123462123,Sacm1l
38772645,38772725,Arhgap26,46109054,46109142,Cntnap2
23940175,23940192,Npsr1,37400057,37400140,Strbp
