gene1	gene2	type1	type2	interaction	bin	covfilter
AHNAK	AHNAK	coding	coding	intra	18000__18200	8
AKR1A1	AKR1A1	coding	coding	intra	300__500	7
AKR1B1	AKR1B1	coding	coding	intra	800__900	6
AKR1B1	AKR1B1	coding	coding	intra	1200__1300	8
ALDH1B1	ALDH1B1	coding	coding	intra	1900__2100	14
ALDOA	ALDOA	coding	coding	intra	1900__2200	7
ALDOA	ALDOA	coding	coding	intra	1500__1800	4
ALDOA	ALDOA	coding	coding	intra	2100__2200	13
ACTB	ALKBH5	coding	coding	inter	1700__2500	8
ACTG1	ALPL	coding	coding	inter	900__1300	4
ALYREF	ALYREF	coding	coding	intra	300__700	5
AMPD2	AMPD2	coding	coding	intra	3800__4000	4
ANAPC11	ANAPC11	coding	coding	intra	200__500	9
ANKH	ANKH	coding	coding	intra	1300__1400	6
ANLN	ANLN	coding	coding	intra	3200__3300	6
ANXA11	ANXA11	coding	coding	intra	800__900	4
ANXA2	ANXA2	coding	coding	intra	1200__1300	12
ANXA5	ANXA5	coding	coding	intra	800__900	10
ANXA5	ANXA5	coding	coding	intra	1200__1300	7
AP1S1	AP1S1	coding	coding	intra	500__700	6
AP2A1	AP2A1	coding	coding	intra	2200__2400	4
AP2M1	AP2M1	coding	coding	intra	1500__1900	10
AP2M1	AP2M1	coding	coding	intra	1600__1900	6
AP2M1	AP2M1	coding	coding	intra	200__300	6
AP2M1	AP2M1	coding	coding	intra	1700__1900	5
APEX1	APEX1	coding	coding	intra	1100__1400	4
APP	APP	coding	coding	intra	1200__1300	6
APP	APP	coding	coding	intra	2900__3100	7
AQP3	AQP3	coding	coding	intra	1700__1800	5
ARF1	ARF1	coding	coding	intra	1200__1400	7
ARF1	ARF1	coding	coding	intra	1100__1400	6
ARF1	ARF1	coding	coding	intra	1000__1800	7
ARF4	ARF4	coding	coding	intra	900__1100	4
ARF4	ARF4	coding	coding	intra	900__1000	6
ARF4	ARF4	coding	coding	intra	1200__1500	9
ARF4	ARF4	coding	coding	intra	1300__1400	6
ARFGAP2	ARFGAP2	coding	coding	intra	1800__2100	4
ARL6IP4	ARL6IP4	coding	coding	intra	600__800	11
ARL6IP5	ARL6IP5	coding	coding	intra	900__1300	6
ARPC2	ARPC2	coding	coding	intra	300__500	4
ARPC2	ARPC2	coding	coding	intra	500__600	4
ACTB	ARPC2	coding	coding	inter	0__100	6
ARPC5	ARPC5	coding	coding	intra	1700__1800	37
ARPC5	ARPC5	coding	coding	intra	1300__1900	6
ARPC5	ARPC5	coding	coding	intra	1100__1200	8
ARPC5	ARPC5	coding	coding	intra	1200__1900	6
ATG101	ATG101	coding	coding	intra	1200__1300	5
ATG13	ATG13	coding	coding	intra	1400__1600	4
ATG3	ATG3	coding	coding	intra	1200__2800	19
ATP1B3	ATP1B3	coding	coding	intra	500__1000	5
ATP1B3	ATP1B3	coding	coding	intra	1200__1400	4
ATP1B3	ATP1B3	coding	coding	intra	900__1300	5
ATP2A2	ATP2A2	coding	coding	intra	4100__4300	9
ATP2C1	ATP2C1	coding	coding	intra	3200__3300	4
ATP5B	ATP5B	coding	coding	intra	1000__1200	7
ATP5B	ATP5B	coding	coding	intra	1500__1600	6
ATP5B	ATP5B	coding	coding	intra	1200__1300	6
ATP5B	ATP5B	coding	coding	intra	1100__1200	9
ATP5D	ATP5D	coding	coding	intra	500__900	38
ATP5G1	ATP5G1	coding	coding	intra	0__100	12
ATP5G2	ATP5G2	coding	coding	intra	900__1000	5
ACTN4	ATP5G2	coding	coding	inter	2700__500	11
ATP5G3	ATP5G3	coding	coding	intra	400__1100	43
ATP5G3	ATP5G3	coding	coding	intra	300__1200	9
ATP6V0B	ATP6V0B	coding	coding	intra	900__1700	24
ATXN10	ATXN10	coding	coding	intra	1800__1900	4
ATXN10	ATXN10	coding	coding	intra	1600__1800	5
ATXN2L	ATXN2L	coding	coding	intra	3600__3900	4
AURKA	AURKA	coding	coding	intra	100__300	5
AVPI1	AVPI1	coding	coding	intra	200__700	4
AVPI1	AVPI1	coding	coding	intra	300__700	5
AXL	AXL	coding	coding	intra	4200__4300	4
B2M	B2M	coding	coding	intra	500__600	14
B2M	B2M	coding	coding	intra	400__700	9
B2M	B2M	coding	coding	intra	400__600	13
B2M	B2M	coding	coding	intra	600__700	18
B2M	B2M	coding	coding	intra	500__700	80
B4GALT1	B4GALT1	coding	coding	intra	2300__2600	4
B4GALT4	B4GALT4	coding	coding	intra	1900__2200	9
BASP1	BASP1	coding	coding	intra	1200__1500	9
BASP1	BASP1	coding	coding	intra	1200__1400	4
BASP1	BASP1	coding	coding	intra	1300__1500	7
BASP1	BASP1	coding	coding	intra	1100__1300	4
BASP1	BASP1	coding	coding	intra	1200__1600	6
BCAT1	BCAT1	coding	coding	intra	1700__8200	4
BCKDK	BCKDK	coding	coding	intra	1400__1500	8
BCKDK	BCKDK	coding	coding	intra	1400__1600	8
BLVRA	BLVRA	coding	coding	intra	0__100	12
BSG	BSG	coding	coding	intra	1600__1800	9
BSG	BSG	coding	coding	intra	1600__1700	10
BSG	BSG	coding	coding	intra	200__600	16
BTF3	BTF3	coding	coding	intra	100__300	11
BTF3	BTF3	coding	coding	intra	900__1000	5
BUB3	BUB3	coding	coding	intra	1100__2400	11
BZW1	BZW1	coding	coding	intra	2700__2800	23
BZW1	BZW1	coding	coding	intra	1700__1900	4
BZW1	BZW1	coding	coding	intra	3000__3200	6
BZW1	BZW1	coding	coding	intra	1700__1800	6
BZW1	BZW1	coding	coding	intra	2000__3000	5
C11orf24	C11orf24	coding	coding	intra	1500__1700	4
C12orf57	C12orf57	coding	coding	intra	300__400	20
C12orf57	C12orf57	coding	coding	intra	200__400	5
C14orf119	C14orf119	coding	coding	intra	600__700	8
C14orf2	C14orf2	coding	coding	intra	0__300	11
ACTB	C19orf53	coding	coding	inter	1700__500	10
C19orf53	C19orf53	coding	coding	intra	400__500	4
C19orf70	C19orf70	coding	coding	intra	400__600	23
C1QBP	C1QBP	coding	coding	intra	1000__1100	7
C20orf27	C20orf27	coding	coding	intra	100__600	10
C21orf33	C21orf33	coding	coding	intra	1100__1300	5
C5orf24	C5orf24	coding	coding	intra	4300__4400	5
C6orf48	C6orf48	coding	coding	intra	300__400	6
C7orf73	C7orf73	coding	coding	intra	300__500	5
C8orf59	C8orf59	coding	coding	intra	300__500	4
ACTB	CALM1	coding	coding	inter	0__100	5
CALM2	CALM2	coding	coding	intra	4100__4300	24
CALM2	CALM2	coding	coding	intra	4000__4200	20
CALM2	CALM2	coding	coding	intra	3800__4000	11
CALM2	CALM2	coding	coding	intra	4200__4300	4
CALR	CALR	coding	coding	intra	1600__1700	10
CALR	CALR	coding	coding	intra	0__300	10
CALR	CALR	coding	coding	intra	0__400	19
CALR	CALR	coding	coding	intra	600__900	5
ARL6IP4	CALR	coding	coding	inter	1000__1200	13
CALR	CALR	coding	coding	intra	1200__1500	10
CALR	CALR	coding	coding	intra	1200__1600	8
CALU	CALU	coding	coding	intra	3600__3900	8
CALU	CALU	coding	coding	intra	2300__3000	8
CALU	CALU	coding	coding	intra	3100__3200	6
CANX	CANX	coding	coding	intra	3300__3500	21
CANX	CANX	coding	coding	intra	3300__3400	16
CANX	CANX	coding	coding	intra	2700__4100	7
CAPNS1	CAPNS1	coding	coding	intra	600__700	6
CAPRIN1	CAPRIN1	coding	coding	intra	2500__2600	4
CAPRIN1	CAPRIN1	coding	coding	intra	3200__3500	7
CAPRIN1	CAPRIN1	coding	coding	intra	3300__3400	5
CAPZA1	CAPZA1	coding	coding	intra	2200__2300	25
CAPZA1	CAPZA1	coding	coding	intra	2200__2400	10
CAPZB	CAPZB	coding	coding	intra	100__700	7
CASC3	CASC3	coding	coding	intra	3600__3900	5
CAV1	CAV1	coding	coding	intra	2200__3000	5
CAV1	CAV1	coding	coding	intra	2800__3000	39
CAV1	CAV1	coding	coding	intra	1500__3000	5
CBX5	CBX5	coding	coding	intra	10900__11100	5
CCAT1	CCAT1	lncrna	lncrna	intra	300__400	145
CCNB1	CCNB1	coding	coding	intra	1800__1900	7
CCNB1IP1	CCNB1IP1	coding	coding	intra	400__600	4
CCND3	CCND3	coding	coding	intra	300__900	14
CCNG1	CCNG1	coding	coding	intra	1400__2100	7
CCNG1	CCNG1	coding	coding	intra	1200__2200	8
CCNI	CCNI	coding	coding	intra	700__900	7
CCNYL1	CCNYL1	coding	coding	intra	2200__2600	5
CCT2	CCT2	coding	coding	intra	1400__1500	7
CCT3	CCT3	coding	coding	intra	900__1000	9
ALDOA	CCT3	coding	coding	inter	2200__1400	4
CCT5	CCT5	coding	coding	intra	2000__2200	17
CCT5	CCT5	coding	coding	intra	1300__1400	8
CCT5	CCT5	coding	coding	intra	1700__1800	4
CCT5	CCT5	coding	coding	intra	400__600	4
CCT6A	CCT6A	coding	coding	intra	1800__2000	6
CCT6A	CCT6A	coding	coding	intra	2400__2500	4
CCT7	CCT7	coding	coding	intra	1700__1900	4
CCT8	CCT8	coding	coding	intra	600__800	6
CD24	CD24	coding	coding	intra	1100__1300	8
CD24	CD24	coding	coding	intra	2100__2200	7
CD55	CD55	coding	coding	intra	800__1100	5
CD55	CD55	coding	coding	intra	1300__1500	98
CD59	CD59	coding	coding	intra	1600__1800	13
CD81	CD81	coding	coding	intra	1100__1400	8
CDC16	CDC16	coding	coding	intra	2000__2200	4
CDC26	CDC26	coding	coding	intra	600__700	6
CDC42SE1	CDC42SE1	coding	coding	intra	100__300	5
CDK2	CDK2	coding	coding	intra	1400__2000	4
CDK2AP1	CDK2AP1	coding	coding	intra	1400__1500	13
CDK2AP1	CDK2AP1	coding	coding	intra	700__900	5
ACTB	CDK4	coding	coding	inter	1700__1300	4
CDK4	CDK4	coding	coding	intra	1100__1300	7
CDKN2A	CDKN2A	coding	coding	intra	700__900	52
CDKN2A	CDKN2A	coding	coding	intra	1200__1300	7
CERK	CERK	coding	coding	intra	2200__2500	7
BASP1	CFL1	coding	coding	inter	1500__500	5
CFL1	CFL1	coding	coding	intra	1000__1200	20
CFL1	CFL1	coding	coding	intra	200__400	5
CFL1	CFL1	coding	coding	intra	800__900	9
CFL1	CFL1	coding	coding	intra	900__1100	8
CGA	CGA	coding	coding	intra	600__700	111
CGA	CGA	coding	coding	intra	200__300	13
CGA	CGA	coding	coding	intra	500__700	4
CFL1	CHCHD10	coding	coding	inter	500__500	12
CHCHD2	CHCHD2	coding	coding	intra	400__600	4
CHKA	CHKA	coding	coding	intra	1800__2600	4
CHP1	CHP1	coding	coding	intra	1200__2700	7
CHURC1	CHURC1	coding	coding	intra	2700__2900	4
CIB1	CIB1	coding	coding	intra	200__300	7
CIZ1	CIZ1	coding	coding	intra	1800__1900	4
CIZ1	CIZ1	coding	coding	intra	2200__2300	6
CKAP4	CKAP4	coding	coding	intra	2500__2700	9
CKS1B	CKS1B	coding	coding	intra	400__700	4
CLIC1	CLIC1	coding	coding	intra	900__1000	8
CLPTM1L	CLPTM1L	coding	coding	intra	1800__2000	6
CLPTM1L	CLPTM1L	coding	coding	intra	1700__2000	5
CLTC	CLTC	coding	coding	intra	5900__6100	10
CLU	CLU	coding	coding	intra	500__600	6
CLU	CLU	coding	coding	intra	600__700	60
AKR1B1	CLU	coding	coding	inter	500__900	4
CLU	CLU	coding	coding	intra	800__1200	6
ACTB	CLU	coding	coding	inter	1700__1600	11
ALYREF	CLU	coding	coding	inter	800__1600	6
CLU	CLU	coding	coding	intra	500__700	10
ACTB	CLU	coding	coding	inter	1700__800	6
CLU	CLU	coding	coding	intra	1500__1700	36
ALDOA	CLU	coding	coding	inter	2200__200	6
CLU	CLU	coding	coding	intra	900__1000	5
CNBP	CNBP	coding	coding	intra	1100__1500	4
CNBP	CNBP	coding	coding	intra	700__800	7
CNN2	CNN2	coding	coding	intra	700__800	5
CNOT7	CNOT7	coding	coding	intra	1800__2300	7
COL3A1	COL3A1	coding	coding	intra	4700__5400	9
COL3A1	COL3A1	coding	coding	intra	4900__5100	11
COLGALT1	COLGALT1	coding	coding	intra	2700__2900	5
COMMD5	COMMD5	coding	coding	intra	0__300	5
COPA	COPA	coding	coding	intra	2800__2900	7
ACTB	COPA	coding	coding	inter	1700__1000	4
COPS8	COPS8	coding	coding	intra	1200__1400	23
COX14	COX14	coding	coding	intra	200__500	4
COX7A2L	COX7A2L	coding	coding	intra	600__700	4
COX7B	COX7B	coding	coding	intra	0__300	5
COX7C	COX7C	coding	coding	intra	200__300	10
COX8A	COX8A	coding	coding	intra	200__400	6
CPNE1	CPNE1	coding	coding	intra	1500__1700	11
CPS1	CPS1	coding	coding	intra	4900__5400	4
CPT1A	CPT1A	coding	coding	intra	5000__5100	4
CPT1A	CPT1A	coding	coding	intra	3900__4800	6
CRABP2	CRABP2	coding	coding	intra	400__800	8
CREB3L2	CREB3L2	coding	coding	intra	6500__7000	4
CREBZF	CREBZF	coding	coding	intra	2400__2600	4
CREM	CREM	coding	coding	intra	1200__1800	4
CRIM1	CRIM1	coding	coding	intra	3300__3700	10
CRIM1	CRIM1	coding	coding	intra	3200__3700	4
CRLF1	CRLF1	coding	coding	intra	800__1000	4
CS	CS	coding	coding	intra	1700__2300	4
CSDE1	CSDE1	coding	coding	intra	2800__2900	7
CTBP1-AS2	CTBP1-AS2	lncrna	lncrna	intra	200__800	5
CTDNEP1	CTDNEP1	coding	coding	intra	1100__1500	5
CTGF	CTGF	coding	coding	intra	2000__2200	8
CTNNA1	CTNNA1	coding	coding	intra	2500__2600	10
CTNNA1	CTNNA1	coding	coding	intra	3100__3400	5
CTNNA1	CTNNA1	coding	coding	intra	2100__2400	4
CTNNB1	CTNNB1	coding	coding	intra	3500__3600	9
CTNNB1	CTNNB1	coding	coding	intra	2600__3100	13
CTNNB1	CTNNB1	coding	coding	intra	2500__3100	10
CTSD	CTSD	coding	coding	intra	1700__1900	5
CTSZ	CTSZ	coding	coding	intra	200__300	5
ACTG1	CUTA	coding	coding	inter	800__800	4
CXCR4	CXCR4	coding	coding	intra	1600__1700	4
CXCR4	CXCR4	coding	coding	intra	1700__1800	4
CYC1	CYC1	coding	coding	intra	800__900	6
CYCS	CYCS	coding	coding	intra	600__800	12
CYCS	CYCS	coding	coding	intra	600__1100	7
CYSTM1	CYSTM1	coding	coding	intra	600__800	4
DAP3	DAP3	coding	coding	intra	1400__1500	5
DAZAP1	DAZAP1	coding	coding	intra	1200__1300	9
DAZAP2	DAZAP2	coding	coding	intra	1000__1900	5
DAZAP2	DAZAP2	coding	coding	intra	1800__1900	4
DCAF7	DCAF7	coding	coding	intra	1300__6200	6
ACTB	DCTN2	coding	coding	inter	1700__1200	6
DCTN3	DCTN3	coding	coding	intra	400__500	7
DDB1	DDB1	coding	coding	intra	4000__4200	6
DDIT4	DDIT4	coding	coding	intra	1100__1600	6
DDIT4	DDIT4	coding	coding	intra	1300__1600	9
DDX3X	DDX3X	coding	coding	intra	2900__5100	4
DDX5	DDX5	coding	coding	intra	2000__2200	5
DDX5	DDX5	coding	coding	intra	2000__2100	5
DDX6	DDX6	coding	coding	intra	3000__3600	4
DHX15	DHX15	coding	coding	intra	2800__2900	4
DHX9	DHX9	coding	coding	intra	3300__3800	4
DIEXF	DIEXF	coding	coding	intra	1100__1900	4
DNPH1	DNPH1	coding	coding	intra	300__500	15
DPP7	DPP7	coding	coding	intra	600__700	10
DR1	DR1	coding	coding	intra	1300__1500	7
DTD1	DTD1	coding	coding	intra	800__1200	8
ECEL1	ECEL1	coding	coding	intra	1500__1700	5
EDF1	EDF1	coding	coding	intra	400__600	19
EDIL3	EDIL3	coding	coding	intra	4500__4600	5
EEF1A1	EEF1A1	coding	coding	intra	300__900	48
EEF1A1	EEF1A1	coding	coding	intra	200__400	24
EEF1A1	EEF1A1	coding	coding	intra	500__700	7
EEF1A1	EEF1A1	coding	coding	intra	1300__1400	15
EEF1A1	EEF1A1	coding	coding	intra	200__1100	7
EEF1A1	EEF1A1	coding	coding	intra	100__1100	34
EEF1A1	EEF1A1	coding	coding	intra	1100__1500	4
EEF1A1	EEF1A1	coding	coding	intra	1100__1300	6
EEF1A1	EEF1A1	coding	coding	intra	0__800	5
EEF1A1	EEF1A1	coding	coding	intra	0__1200	105
EEF1A1	EEF1A1	coding	coding	intra	700__800	45
EEF1A1	EEF1A1	coding	coding	intra	1300__1700	19
EEF1A1	EEF1A1	coding	coding	intra	300__400	44
ACTB	EEF1A1	coding	coding	inter	800__300	5
EEF1A1	EEF1A1	coding	coding	intra	600__800	20
EEF1A1	EEF1A1	coding	coding	intra	1600__1700	12
EEF1A1	EEF1A1	coding	coding	intra	200__1200	5
EEF1A1	EEF1A1	coding	coding	intra	1100__1600	23
EEF1A1	EEF1A1	coding	coding	intra	100__400	5
EEF1A1	EEF1A1	coding	coding	intra	400__500	19
EEF1A1	EEF1A1	coding	coding	intra	1300__1500	7
EEF1A1	EEF1A1	coding	coding	intra	700__1100	8
EEF1A1	EEF1A1	coding	coding	intra	700__1000	11
EEF1A1	EEF1A1	coding	coding	intra	1200__1400	6
EEF1A1	EEF1A1	coding	coding	intra	500__1100	4
EEF1A1	EEF1A1	coding	coding	intra	1400__1700	25
EEF1A1	EEF1A1	coding	coding	intra	200__300	11
EEF1A1	EEF1A1	coding	coding	intra	300__1100	45
EEF1A1	EEF1A1	coding	coding	intra	700__1300	4
EEF1A1	EEF1A1	coding	coding	intra	400__1100	17
EEF1A1	EEF1A1	coding	coding	intra	900__1100	6
EEF1A1	EEF1A1	coding	coding	intra	1500__1700	143
EEF1A1	EEF1A1	coding	coding	intra	600__900	11
EEF1A1	EEF1A1	coding	coding	intra	300__1400	13
EEF1A1	EEF1A1	coding	coding	intra	0__1100	26
EEF1A1	EEF1A1	coding	coding	intra	1000__1100	14
EEF1A1	EEF1A1	coding	coding	intra	600__1100	11
EEF1A1	EEF1A1	coding	coding	intra	100__1400	17
EEF1A1	EEF1A1	coding	coding	intra	1100__1200	21
EEF1A1	EEF1A1	coding	coding	intra	100__1200	135
EEF1A1	EEF1A1	coding	coding	intra	1400__1500	9
EEF1A1	EEF1A1	coding	coding	intra	500__1200	6
EEF1A1	EEF1A1	coding	coding	intra	1500__1600	139
EEF1A1	EEF1A1	coding	coding	intra	200__1000	16
EEF1A1	EEF1A1	coding	coding	intra	100__1300	4
EEF1A1	EEF1A1	coding	coding	intra	300__1000	6
EEF1A1	EEF1A1	coding	coding	intra	1000__1200	33
EEF1A1	EEF1A1	coding	coding	intra	900__1000	42
EEF1A1	EEF1A1	coding	coding	intra	1100__1400	8
EEF1A1	EEF1A1	coding	coding	intra	400__1200	6
EEF1A1	EEF1A1	coding	coding	intra	800__900	21
EEF1A1	EEF1A1	coding	coding	intra	0__1300	5
EEF1A1	EEF1A1	coding	coding	intra	0__1600	12
EEF1A1	EEF1A1	coding	coding	intra	100__900	10
EEF1A1	EEF1A1	coding	coding	intra	200__1600	8
EEF1A1	EEF1A1	coding	coding	intra	100__1500	5
EEF1A1	EEF1A1	coding	coding	intra	400__600	22
EEF1A1	EEF1A1	coding	coding	intra	1200__1500	5
EEF1A1	EEF1A1	coding	coding	intra	1400__1600	72
EEF1A1	EEF1A1	coding	coding	intra	600__1400	9
EEF1A1	EEF1A1	coding	coding	intra	800__1400	11
EEF1A1	EEF1A1	coding	coding	intra	800__1000	18
EEF1A1	EEF1A1	coding	coding	intra	400__900	7
EEF1A1	EEF1A1	coding	coding	intra	100__800	11
EEF1A1	EEF1A1	coding	coding	intra	1200__1300	32
EEF1A1	EEF1A1	coding	coding	intra	1000__1300	13
ACTB	EEF1A2	coding	coding	inter	0__600	16
EEF1B2	EEF1B2	coding	coding	intra	300__1000	13
EEF1B2	EEF1B2	coding	coding	intra	300__900	10
EEF1B2	EEF1B2	coding	coding	intra	500__800	7
EEF1B2	EEF1B2	coding	coding	intra	500__600	7
EEF1D	EEF1D	coding	coding	intra	300__2000	5
EEF1D	EEF1D	coding	coding	intra	200__2000	19
EEF1G	EEF1G	coding	coding	intra	1100__1200	6
EEF1G	EEF1G	coding	coding	intra	1200__1400	28
EEF1G	EEF1G	coding	coding	intra	500__1000	4
EEF1G	EEF1G	coding	coding	intra	1000__1200	5
COX4I1	EEF1G	coding	coding	inter	500__1400	10
COX4I1	EEF1G	coding	coding	inter	500__1300	4
EEF1G	EEF1G	coding	coding	intra	400__1000	13
EEF1G	EEF1G	coding	coding	intra	400__1400	5
EEF1G	EEF1G	coding	coding	intra	300__1400	7
EEF1G	EEF1G	coding	coding	intra	600__800	5
EEF1G	EEF1G	coding	coding	intra	600__1200	6
ATP6AP1	EEF1G	coding	coding	inter	400__1400	4
EEF1G	EEF1G	coding	coding	intra	300__1100	4
EEF1G	EEF1G	coding	coding	intra	1200__1300	45
EEF1G	EEF1G	coding	coding	intra	200__400	8
EEF1G	EEF1G	coding	coding	intra	200__500	4
EEF2	EEF2	coding	coding	intra	2800__3100	7
EEF2	EEF2	coding	coding	intra	2700__2900	7
EEF2	EEF2	coding	coding	intra	2800__2900	18
EEF2	EEF2	coding	coding	intra	2400__2500	7
EEF2	EEF2	coding	coding	intra	2800__3000	43
COX6A1	EEF2	coding	coding	inter	100__2600	5
EEF2	EEF2	coding	coding	intra	1200__3000	21
CFL1	EEF2	coding	coding	inter	1000__800	5
EEF2	EEF2	coding	coding	intra	500__900	7
EEF2	EEF2	coding	coding	intra	200__400	11
EEF2	EEF2	coding	coding	intra	2600__2800	4
EEF2	EEF2	coding	coding	intra	2700__3000	66
EEF2	EEF2	coding	coding	intra	2300__2500	4
EEF2	EEF2	coding	coding	intra	1400__2700	10
EEF2	EEF2	coding	coding	intra	1200__1300	4
EEF2	EEF2	coding	coding	intra	1200__1500	7
EID1	EID1	coding	coding	intra	600__1600	9
EID1	EID1	coding	coding	intra	900__1300	5
EIF2AK1	EIF2AK1	coding	coding	intra	1700__1800	4
EIF2B2	EIF2B2	coding	coding	intra	1300__1500	9
EIF2B2	EIF2B2	coding	coding	intra	1300__1400	16
EIF2S2	EIF2S2	coding	coding	intra	1000__1200	5
EIF2S3	EIF2S3	coding	coding	intra	3000__3300	5
EIF3B	EIF3B	coding	coding	intra	2500__2600	10
EIF3E	EIF3E	coding	coding	intra	1200__1400	6
EIF3H	EIF3H	coding	coding	intra	1000__1200	5
EIF4B	EIF4B	coding	coding	intra	3000__3100	5
EIF4B	EIF4B	coding	coding	intra	1400__1600	4
EIF4B	EIF4B	coding	coding	intra	2800__3200	13
EIF4E	EIF4E	coding	coding	intra	1700__2100	30
EIF4G1	EIF4G1	coding	coding	intra	5300__5500	7
ACTB	EIF4G1	coding	coding	inter	1600__5600	86
EIF4G2	EIF4G2	coding	coding	intra	3400__3900	5
EEF1A1	EIF4H	coding	coding	inter	1600__2200	5
EIF4H	EIF4H	coding	coding	intra	1700__2000	7
EIF4H	EIF4H	coding	coding	intra	1200__2100	11
EIF4H	EIF4H	coding	coding	intra	1200__2200	28
EIF4H	EIF4H	coding	coding	intra	900__2200	5
EIF4H	EIF4H	coding	coding	intra	1100__2200	6
EEF1G	EIF5A	coding	coding	inter	1400__700	27
CD24	EIF5A	coding	coding	inter	300__700	5
ACTB	EIF5A	coding	coding	inter	0__100	79
ATP5G3	EIF5A	coding	coding	inter	0__100	7
EIF6	EIF6	coding	coding	intra	900__1100	4
EIF6	EIF6	coding	coding	intra	900__1000	6
ELOVL5	ELOVL5	coding	coding	intra	3000__3100	5
ELOVL5	ELOVL5	coding	coding	intra	2900__3100	8
EMC4	EMC4	coding	coding	intra	500__800	6
ENG	ENG	coding	coding	intra	2200__2400	8
ENO1	ENO1	coding	coding	intra	2000__2100	4
ENO1	ENO1	coding	coding	intra	2300__2500	28
ENO1	ENO1	coding	coding	intra	1500__1600	27
ENO1	ENO1	coding	coding	intra	2200__2300	12
EDARADD	ENO1	coding	coding	inter	1500__1100	7
ENO1	ENO1	coding	coding	intra	2200__2400	15
ENO1	ENO1	coding	coding	intra	1500__2400	4
ENO1	ENO1	coding	coding	intra	2000__2200	29
ENO1	ENO1	coding	coding	intra	2300__2400	23
ENO1	ENO1	coding	coding	intra	1700__1900	5
ENO1	ENO1	coding	coding	intra	2200__2500	17
ENO1	ENO1	coding	coding	intra	1200__2400	11
ENO1	ENO1	coding	coding	intra	1800__2300	5
EPHX1	EPHX1	coding	coding	intra	0__500	6
ERCC8	ERCC8	coding	coding	intra	200__400	5
CLU	ERGIC3	coding	coding	inter	200__1300	5
ESYT1	ESYT1	coding	coding	intra	3900__4100	5
ETF1	ETF1	coding	coding	intra	2100__3500	9
ETS2	ETS2	coding	coding	intra	3100__3300	5
EXOC3	EXOC3	coding	coding	intra	600__700	14
ACTB	EXOSC5	coding	coding	inter	1700__700	6
EZR	EZR	coding	coding	intra	2200__2300	10
